date,count
1419822000.0,3
1423450800.0,1
1424055600.0,1
1424660400.0,346
1425265200.0,128
1425870000.0,92
1426474800.0,74
1427079600.0,74
1427684400.0,75
1428289200.0,77
1428894000.0,46
1429498800.0,47
1430103600.0,22
1430708400.0,26
1431313200.0,15
1431918000.0,23
1432522800.0,23
1433127600.0,220
1433732400.0,79
1434337200.0,22
1434942000.0,23
1435546800.0,20
1436151600.0,27
1436756400.0,45
1437361200.0,40
1437966000.0,30
1438570800.0,16
1439175600.0,5
1439780400.0,4
1440385200.0,4
1440990000.0,5
1441594800.0,1
1442199600.0,2
1443409200.0,2
1444014000.0,2
1444618800.0,3
1445223600.0,4
1445828400.0,5
1446433200.0,5
1447038000.0,4
1447642800.0,5
1448247600.0,5
1448852400.0,3
1449457200.0,6
1450062000.0,4
1450666800.0,2
1451271600.0,3
1451876400.0,3
1452481200.0,3
1453086000.0,3
1453690800.0,6
1454295600.0,6
1454900400.0,7
1455505200.0,9
1456110000.0,10
1456714800.0,10
1457319600.0,19
1457924400.0,41
1458529200.0,5
1459134000.0,9
1459738800.0,5
1460343600.0,7
1460948400.0,3
1461553200.0,7
1462158000.0,7
1462762800.0,3
1463367600.0,3
1463972400.0,1
1464577200.0,3
1465182000.0,3
1465786800.0,3
1466391600.0,1
1466996400.0,3
1467601200.0,6
1468206000.0,8
1468810800.0,8
1469415600.0,10
1470020400.0,2
1470625200.0,11
1471230000.0,5
1471834800.0,14
1472439600.0,14
1473044400.0,10
1473649200.0,9
1474254000.0,11
1474858800.0,8
1475463600.0,8
1476068400.0,10
1476673200.0,13
1477278000.0,9
1477882800.0,12
1478487600.0,7
1479092400.0,14
1479697200.0,14
1480302000.0,15
1480906800.0,19
1481511600.0,39
1482116400.0,42
1482721200.0,40
1483326000.0,117
1483930800.0,105
1484535600.0,126
1485140400.0,213
1485745200.0,196
1486350000.0,173
1486954800.0,199
1487559600.0,317
1488164400.0,455
1488769200.0,560
1489374000.0,382
1489978800.0,332
1490583600.0,247
1491188400.0,346
1491793200.0,308
1492398000.0,257
1493002800.0,190
1493607600.0,230
1494212400.0,178
1494817200.0,152
1495422000.0,493
1496026800.0,399
1496631600.0,381
1497236400.0,366
1497841200.0,467
1498446000.0,505
1499050800.0,558
1499655600.0,652
1500260400.0,609
1500865200.0,634
1501470000.0,605
1502074800.0,605
1502679600.0,630
1503284400.0,658
1503889200.0,573
1504494000.0,599
1505098800.0,591
1505703600.0,659
1506308400.0,796
1506913200.0,594
1507518000.0,575
1508122800.0,640
1508727600.0,542
